address,mean_profile_views,lon,lat
"Ettenheim, DE",2338.75,7.813807199999999,48.2565786
"Ettiswil, CH",5851,8.019181699999999,47.1501373
"Euskirchen, DE",12,6.7899945,50.6574392
"Eutingen im Gäu, DE",17289,8.748092399999999,48.4778509
"Evian-les-Bains, FR",2167,6.590948999999999,46.401488
"Eymatt, CH",8414,7.383489999999999,46.96246
"Falera, CH",5348,9.2304912,46.8012412
"Fayence, FR",4820,6.694103000000001,43.624076
"Fellbach, DE",2263,9.2702944,48.8215653
"Ferney-Voltaire, FR",71,6.108669,46.25763200000001
"Fillinges, FR",25862,6.342989999999999,46.15946599999999
"Fischbach bei Dahn, DE",5104,7.7113215,49.0883539
"Flavigny-sur-Moselle, FR",1569,6.188515000000001,48.56863300000001
"Flawil, CH",17,9.1870297,47.41337069999999
"Flein, DE",524,9.211708300000002,49.10214819999999
"Flörsheim am Main, DE",683,8.4217125,50.01239959999999
"Fontaine-lès-Luxeuil, FR",354,6.334178,47.856758
"Fontaines, CH",5107,6.9008183,47.0426174
"Fontaneto D'agogna, IT",486,8.4837703,45.6402711
"Forbach, DE",3075,6.895295000000001,49.186515
"Fos-sur-Mer, FR",399,4.945711,43.43788199999999
"Founex, CH",8834,6.192647,46.3328701
"Francheval, FR",84,5.0488799,49.701109
"Francheville, FR",476,4.7438242,45.7297871
"Frankenthal (Pfalz), DE",812,8.3560768,49.53770720000001
"Frankfurt am Main (Hessen), DE",7360.5,8.6821267,50.1109221
"Frankfurt am Main, DE",2775.61176470588,8.6821267,50.1109221
"Fraubrunnen, CH",8295,7.526873900000001,47.0862376
"Frauenfeld, CH",10839.5,8.8987541,47.5535997
"Frechen, DE",2506.5,6.815995699999999,50.9122488
"Freiamt, DE",5680,7.8855998,48.1793691
"Freiberg am Neckar, DE",1446,9.1992433,48.9334303
"Freiburg im Breisgau (Baden-Württemberg), DE",10165,7.842104299999999,47.9990077
"Freiburg im Breisgau, DE",4830.630769230766,7.842104299999999,47.9990077
"Freiburg, CH",832.5,7.161971899999999,46.8064773
"Freiburg, DE",1609,7.842104299999999,47.9990077
"Freudenstadt, DE",366,8.4179988,48.4644796
"Fribourg, CH",4759.346153846152,7.161971899999999,46.8064773
"Frick, CH",673,-73.9673861,40.7710857
"Friedberg (Hessen), DE",36,8.7510993,50.3308526
"Friedrichshafen, DE",897.3333333333334,9.4649538,47.65673289999999
"Friedrichsthal, DE",683,7.0946606,49.32702
"Froideconche, FR",4561,6.4155739999999994,47.8195229
"Froideville, CH",1015.6666666666666,6.6822073,46.601503
"Froville, FR",350,6.355754,48.46987
"Fully, CH",1603,NA,NA
"Furtwangen im Schwarzwald, DE",886,8.2014192,48.0501442
"Fécamp, FR",2190,0.380774,49.755601
"Füllinsdorf, CH",4416,7.7298829,47.5055922
"Füssen, DE",1107,10.7004328,47.569648
"Gaillard, FR",439.3333333333333,6.208959,46.18468499999999
"Galmiz, CH",3501,7.1578548,46.9489963
"Gampelen, CH",1241,7.057894699999999,47.014664
"Gamprin, LI",13923,9.5025195,47.213249
"Gangelt, DE",15,5.997431,50.9927163
"Gap, FR",837.5,NA,NA
"Gardanne, FR",976,5.4717363,43.4525982
"Geilenkirchen, DE",398.5,6.117458399999999,50.967168
"Genas, FR",1618,5.001291,45.732041
"Genebra, CH",6566,6.1431577,46.2043907
"Geneva, CH",3512.5,6.1431577,46.2043907
"Genova, IT",426.5,8.9462564,44.4056493
"Genève, CH",2602.541666666668,6.1431577,46.2043907
"Gersau, CH",505,8.525355200000002,46.9918509
"Gerzat, FR",502,3.143508,45.8243889
"Ghemme, IT",619,8.4228612,45.5958705
"Gießen, DE",948,8.678403099999999,50.5840512
"Gignac-la-Nerthe, FR",622,5.233463,43.390916
"Ginebra, CH",579,6.1431577,46.2043907
"Ginevra, CH",475,6.1431577,46.2043907
"Ginsheim-Gustavsburg, DE",1767,8.3220536,49.9930544
"Giornico, CH",2337,8.8772098,46.4019229
"Gland, CH",370.5,6.2698809,46.4203001
"Glattpark, CH",7943,8.56151,47.42357
"Glis, CH",637,NA,NA
"Glovelier, CH",736,7.204715600000001,47.3345052
"Gozée, BE",324,4.351614,50.33345749999999
"Graal-Müritz, DE",1916,12.2461781,54.2495658
"Grabs, SC",14526,-81.1637245,33.836081
"Grafenhausen, DE",241,8.2552073,47.7757006
"Grancy, CH",1080.6666666666667,6.4642847,46.5920275
"Grand-Lancy, CH",292,6.114454599999999,46.1885168
"Grandfresnoy, FR",584,2.653483,49.371797
"Grandlup-et-Fay, FR",24,3.737574,49.657082
"Granges-près-Marnand, CH",678,6.88765,46.76336
"Grenchen, CH",7040.6,7.3958907,47.1922876
"Grenoble (Rhône-Alpes), FR",8160.5,5.724524,45.188529
"Grenoble, FR",3719.7,5.724524,45.188529
"Grenzach-Wyhlen, CH",2320,7.658088100000001,47.5523554
"Grenzach-Wyhlen, DE",3555,7.658088100000001,47.5523554
"Griesheim, DE",58,8.567644099999999,49.86142599999999
"Grindelwald, CH",5621,8.0413962,46.624164
"Grißheim, Baden-Wurttemberg, Germany, DE",1541,7.589991899999999,47.8730115
"Grossaffoltern, CH",305,7.360799999999998,47.06623
"Groß-Gerau, DE",605,8.4847038,49.9203655
"Groß-Zimmern, DE",1149,8.8264248,49.8749692
"Grésy-sur-Aix, FR",488,5.932794899999999,45.722579
"Grötzingen, DE",1552,8.4988087,49.02698059999999
"Gstaad, CH",17998.5,7.2865728,46.4717588
"Guebwiller, FR",1898,7.209336,47.911586
"Gundelfingen, DE",12946,7.866946599999999,48.0424069
"Gurbrü, CH",851,7.2139233,46.96455479999999
"Gurtweil, DE",2899.5,8.2465409,47.6440289
"Görwihl, DE",5663,8.0756351,47.6420482
"Gümligen, CH",4807,7.498472799999999,46.9350521
"Günzburg, DE",6,10.2775127,48.45284119999999
"Hagen, DE",1136,7.4632841,51.3670777
"Haguenau, FR",2046,7.791250000000001,48.813288
"Hahnstätten, DE",605,8.066673999999999,50.3035796
"Hainburg, DE",2297,8.9379086,50.0763954
"Haltingen, DE",3230,7.6116907,47.6138991
"Hamburg, DE",7222,9.987170299999999,53.5488282
"Hanau, DE",2111,8.9283105,50.1264123
"Hannover, DE",461,9.732010400000002,52.3758916
"Hasle bei Burgdorf, CH",9626,7.6452,47.015867
"Hasle-Rüegsau, CH",6068,7.654109999999999,47.01686
"Hattersheim am Main, DE",307,8.487226699999999,50.0695728
"Hausen, CH",1747,8.2115423,47.46213040000001
"Hauterive (FR), CH",969,7.096121699999999,46.7610132
"Hautevelle, FR",236,6.284999,47.84213399999999
"Haßloch, DE",11354.5,8.2578059,49.3610149
